caseID,activity_chain,next_activity
1-467153946,['Completed - Closed'],end
1-503573772,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-503573772,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-503573772,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-503573772,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-503573772,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Completed - Resolved
1-503573772,"['Completed - Resolved', 'Completed - Closed']",end
1-504538555,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-504538555,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-504538555,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-504538555,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-504538555,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Accepted - In Progress
1-504538555,"['Accepted - In Progress', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-504538555,['Completed - Closed'],end
1-506071646,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Accepted - Wait - User
1-506071646,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - In Progress']",Accepted - Wait - User
1-506071646,"['Accepted - Wait - User', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Accepted - In Progress
1-506071646,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-506071646,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - In Progress']",Completed - Resolved
1-506071646,"['Completed - Resolved', 'Completed - Closed']",end
1-512795200,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-512795200,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - User
1-512795200,"['Accepted - Wait - User', 'Completed - Resolved', 'Accepted - Assigned']",Accepted - In Progress
1-512795200,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-512795200,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-512795200,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-512795200,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-512795200,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Accepted - Wait - User
1-512795200,"['Accepted - Wait - User', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Assigned
1-512795200,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Completed - Resolved
1-512795200,"['Completed - Resolved', 'Completed - Closed']",end
1-516553982,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-516553982,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-516553982,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-516553982,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-516553982,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-516553982,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - In Progress
1-516553982,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-522528740,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-522528740,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-522528740,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-522528740,"['Accepted - In Progress', 'Accepted - Wait - Implementation', 'Accepted - In Progress']",Completed - Resolved
1-522528740,"['Completed - Resolved', 'Completed - Closed']",end
1-523391859,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - Vendor']",Accepted - In Progress
1-523391859,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Completed - Resolved
1-523391859,"['Completed - Resolved', 'Completed - Closed']",end
1-529067006,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-529067006,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-529067006,"['Accepted - Wait - User', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-529067006,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-529067006,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-529067006,"['Accepted - In Progress', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-529067006,['Completed - Closed'],end
1-529096847,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-529096847,"['Accepted - Wait - User', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-529096847,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-529096847,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-529096847,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - Wait - User
1-529096847,"['Accepted - Wait - User', 'Accepted - Wait - User', 'Accepted - Wait - User']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-529096847,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-529096847,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-529096847,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-529096847,"['Accepted - In Progress', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-529096847,['Completed - Closed'],end
1-530458987,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530458987,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-530458987,"['Accepted - Wait - User', 'Accepted - Wait - User', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-530458987,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530458987,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-530458987,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-530458987,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-530458987,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-530458987,"['Accepted - In Progress', 'Completed - Resolved', 'Accepted - In Progress']",Accepted - Wait
1-530458987,"['Accepted - Wait', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-530458987,['Completed - Closed'],end
1-530772502,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530772502,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-530772502,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-530772502,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Completed - Resolved
1-530772502,"['Completed - Resolved', 'Completed - Closed']",end
1-530838254,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530838254,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-530838254,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530838254,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Completed - Resolved
1-530838254,"['Completed - Resolved', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-530838254,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530838254,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-530838254,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-530838254,"['Accepted - In Progress', 'Accepted - Wait - User', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530838254,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-530838254,"['Accepted - Assigned', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-530838254,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - Assigned']",Accepted - In Progress
1-530838254,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait
1-530838254,"['Accepted - Wait', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-530838254,['Completed - Closed'],end
1-532109338,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-532109338,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-532109338,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-532109338,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-532109338,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-532109338,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - In Progress
1-532109338,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-536444735,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-536444735,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-536444735,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-536444735,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Completed - Resolved
1-536444735,"['Completed - Resolved', 'Completed - Closed']",end
1-536481337,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-536481337,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-536481337,"['Accepted - Wait - User', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-536481337,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-536481337,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-536481337,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Completed - Resolved
1-536481337,"['Completed - Resolved', 'Completed - Closed']",end
1-537219938,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-537219938,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-537219938,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-537219938,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-537219938,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-537219938,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-537219938,['Completed - Closed'],end
1-540390551,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-540390551,"['Accepted - In Progress', 'Accepted - Wait', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-540390551,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-540390551,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - In Progress']",Completed - Resolved
1-540390551,"['Completed - Resolved', 'Completed - Closed']",end
1-541468268,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-541468268,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-541468268,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Accepted - In Progress
1-541468268,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-543317665,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-543317665,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-543317665,"['Accepted - Wait - User', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-543317665,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-543317665,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-543317665,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-543317665,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Completed - Resolved
1-543317665,"['Completed - Resolved', 'Completed - Closed']",end
1-543979253,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-543979253,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-544969832,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-544969832,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-544969832,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-544969832,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Accepted - In Progress
1-544969832,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-544976636,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-544976636,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-544976636,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-544976636,"['Accepted - In Progress', 'Accepted - Wait - Implementation', 'Accepted - In Progress']",Completed - Resolved
1-544976636,"['Completed - Resolved', 'Completed - Closed']",end
1-550213097,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-550213097,"['Queued - Awaiting Assignment', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-550213097,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Queued - Awaiting Assignment
1-550213097,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Queued - Awaiting Assignment
1-550213097,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - Wait - User
1-550213097,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-550213097,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait']",Queued - Awaiting Assignment
1-550213097,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Accepted - In Progress
1-550213097,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-557297151,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-557297151,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-557297151,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait - User
1-557297151,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-557297151,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-557297151,"['Accepted - In Progress', 'Accepted - Wait - Implementation', 'Accepted - In Progress']",Completed - Resolved
1-557297151,"['Completed - Resolved', 'Completed - Closed']",end
1-559795575,"['Queued - Awaiting Assignment', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-559795575,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-559795575,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-559795575,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-559795575,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-559795575,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-559795575,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - Assigned']",Accepted - In Progress
1-559795575,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Completed - Resolved
1-559795575,"['Completed - Resolved', 'Completed - Closed']",end
1-565045794,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - Implementation']",Accepted - In Progress
1-565045794,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-565045794,"['Accepted - Wait - User', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Assigned
1-565045794,"['Accepted - Assigned', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-565045794,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-565045794,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Assigned']",Accepted - In Progress
1-565045794,"['Accepted - In Progress', 'Accepted - Wait - User', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-565045794,"['Accepted - In Progress', 'Accepted - Assigned', 'Accepted - In Progress']",Accepted - Wait
1-565045794,"['Accepted - Wait', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-565045794,"['Accepted - In Progress', 'Accepted - Wait - User', 'Completed - Resolved']",Completed - Closed
1-565045794,['Completed - Closed'],end
1-567358917,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-567358917,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-567358917,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-567358917,"['Accepted - Wait - Implementation', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-567358917,['Completed - Closed'],end
1-577292898,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-577292898,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-577292898,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Accepted - Wait']",Queued - Awaiting Assignment
1-577292898,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-577292898,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-577292898,"['Accepted - Wait - Implementation', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-577292898,['Completed - Closed'],end
1-578864726,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-578864726,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-578864726,"['Accepted - In Progress', 'Completed - Resolved', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-578864726,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Completed - Resolved
1-578864726,"['Completed - Resolved', 'Completed - Closed']",end
1-580893958,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-580893958,"['Accepted - In Progress', 'Accepted - Wait', 'Accepted - In Progress']",Queued - Awaiting Assignment
1-580893958,"['Queued - Awaiting Assignment', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-580893958,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-580893958,"['Accepted - In Progress', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - Implementation
1-580893958,"['Accepted - Wait - Implementation', 'Accepted - In Progress', 'Completed - Resolved']",Completed - Closed
1-580893958,['Completed - Closed'],end
1-580987781,"['Queued - Awaiting Assignment', 'Queued - Awaiting Assignment', 'Accepted - In Progress']",Accepted - Wait - User
1-580987781,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - In Progress
1-580987781,"['Accepted - In Progress', 'Completed - Resolved', 'Completed - Closed']",end
1-583200733,"['Accepted - In Progress', 'Accepted - In Progress', 'Accepted - Wait - User']",Accepted - Wait - User
1-583200733,"['Accepted - Wait - User', 'Accepted - In Progress', 'Accepted - Wait']",Accepted - In Progress
1-583200733,"['Accepted - In Progress', 'Completed - In Call']",end
1-587101946,"['Accepted - In Progress', 'Accepted - In Progress', 'Queued - Awaiting Assignment']",Accepted - In Progress
1-587101946,"['Accepted - In Progress', 'Accepted - Wait - User', 'Accepted - In Progress']",Accepted - Wait - Implementation
