caseID,activity_chain,next_activity,global_timestamps,local_timestamps
173718,"[4, 4, 4]",4,"[0.4730543731427195, 0.5470243353947474, 0.549674724921693]","[0.0, 0.2651377027156703, 0.009500047980040303]"
173718,"[4, 4, 4]",4,"[0.6213155569833748, 0.6228147672208391, 0.6650603699836694]","[0.2568851357835141, 0.005373764513962192, 0.15142500719700605]"
173718,"[4, 6, 4]",4,"[0.6666666666666666, 0.69094851819131, 0.6915642652531255]","[0.0057576048363880625, 0.0870357931100662, 0.002303041934555225]"
173718,"[4, 4, 4]",4,"[0.6917784381441919, 0.730490188204428, 0.8941718202018579]","[0.000671720564245274, 0.1387582765569523, 0.5866999328279435]"
173718,"[4, 6]",end,"[0.9597087248681498, 1.0]","[0.23491027732463296, 0.1444199213127339]"
173721,"[3, 5, 5]",5,"[0.0, 0.00015073861923424781, 0.0009044317154054868]","[0.0, 0.00034626038781163435, 0.0017313019390581717]"
173721,"[5, 5, 6]",4,"[0.34119686463671994, 0.5358004220681338, 0.9711335544166415]","[0.7816828254847645, 0.4470221606648199, 1.0]"
173721,"[4, 4, 4]",4,"[0.9721887247512813, 0.9784443774495025, 0.9904280976786253]","[0.0024238227146814403, 0.014196675900277008, 0.027700831024930747]"
173721,[4],end,[1.0],[0.021814404432132964]
173724,"[1, 1, 3]",3,"[0.0, 0.002583979328165375, 0.02422480620155039]","[0.0, 0.0030097817908201654, 0.024830699774266364]"
173724,"[3, 3, 3]",3,"[0.0355297157622739, 0.05910852713178295, 0.9176356589147286]","[0.013167795334838224, 0.02746425884123401, 1.0]"
173724,[3],end,[1.0],[0.09593679458239278]
173730,"[3, 3, 3]",3,"[0.0, 0.0028057377336653455, 0.0033668852803984146]","[0.0, 0.007911392405063292, 0.0015822784810126582]"
173730,"[3, 5, 5]",5,"[0.003682530775435766, 0.003963104548802301, 0.35860835408410197]","[0.0008900316455696202, 0.0007911392405063291, 1.0]"
173730,"[5, 5, 5]",5,"[0.4690492056255042, 0.49843930838564865, 0.5176586118612563]","[0.3114121835443038, 0.08287183544303797, 0.05419303797468354]"
173730,"[5, 5, 5]",6,"[0.5591133868761617, 0.6158594325395433, 0.649037281240136]","[0.11689082278481013, 0.16000791139240506, 0.09345332278481013]"
173730,"[6, 4, 4]",4,"[0.9078315154490934, 0.9082523761091432, 0.9083926629958264]","[0.7297270569620253, 0.0012856012658227847, 0.00039556962025316455]"
173730,"[4, 4, 6]",4,"[0.9201416897555501, 0.9474625609371164, 0.9516010240942728]","[0.033128955696202535, 0.07703718354430379, 0.011669303797468354]"
173730,"[4, 4, 6]",4,"[0.9522673868060183, 0.952898677796093, 0.9555290569214042]","[0.0018789556962025317, 0.0016811708860759494, 0.007515822784810127]"
173730,"[4, 4, 4]",6,"[0.9566513520148704, 0.9594570897485357, 0.9648230631641708]","[0.0031645569620253164, 0.007911392405063292, 0.015130537974683545]"
173730,"[6, 6, 6]",end,"[0.9939325921509486, 0.9998947848349875, 1.0]","[0.08198180379746836, 0.016811708860759493, 0.0002966772151898734]"
173733,[1],end,[0],[0]
173736,"[3, 3, 3]",5,"[0.0, 0.0006594946622150777, 0.0010304604097110589]","[0.0, 0.0018443804034582133, 0.0011527377521613833]"
173736,"[5, 5, 6]",4,"[0.17142739375953175, 0.5289971559292692, 0.7002596760232472]","[0.4765417867435158, 1.0, 0.4789625360230548]"
173736,"[4, 4, 4]",4,"[0.7008367338526854, 0.7009603891018507, 0.7010428259346276]","[0.0016138328530259365, 0.000345821325648415, 0.00023054755043227666]"
173736,"[4, 4, 4]",6,"[0.7022381600098924, 0.7038456782490417, 0.9958369399447673]","[0.0033429394812680116, 0.004610951008645533, 0.8165994236311239]"
173736,[6],end,[1.0],[0.01164265129682997]
173739,"[3, 3, 3]",5,"[0.0, 0.0007989347536617843, 0.001544607190412783]","[0.0, 0.0014922403501790688, 0.0014922403501790688]"
173739,"[5, 5, 5]",6,"[0.0017576564580559255, 0.537150466045273, 0.750572569906791]","[0.0003979307600477517, 1.0, 0.3985276561878233]"
173739,"[6, 6, 4]",4,"[0.9131824234354194, 0.9191478029294274, 0.9349667110519307]","[0.3037206526064465, 0.011142061281337047, 0.029546358933545562]"
173739,"[4, 4, 4]",4,"[0.9799733688415446, 0.9903062583222371, 0.9912117177097204]","[0.08406287306008754, 0.01920015917230402, 0.0016912057302029446]"
173739,"[4, 4, 6]",end,"[0.9927030625832224, 0.9982423435419441, 1.0]","[0.002785515320334262, 0.010346199761241544, 0.0033824114604058893]"
173742,"[1, 3, 3]",3,"[0.0, 0.002876011930123562, 0.1469961653174265]","[0.0, 0.006066052572455628, 0.30397663446416534]"
173742,"[3, 3, 3]",3,"[0.15652961227098425, 0.21937579889220282, 0.22528760119301236]","[0.020107840934621434, 0.13255448213884521, 0.012469108065603236]"
173742,"[3, 3, 3]",3,"[0.23812313591819345, 0.28951853429910523, 0.30208777162334893]","[0.027072567962255673, 0.10840260615592001, 0.02651089642776904]"
173742,"[3, 3, 3]",3,"[0.31731998295696634, 0.3193971026842778, 0.36770345121431613]","[0.032127611772635366, 0.004381037968995732, 0.10188721635587508]"
173742,"[3, 3, 3]",3,"[0.40253515125692374, 0.4718257349808266, 0.5238069876438006]","[0.07346663671085149, 0.1461469332734217, 0.10963828353179061]"
173742,"[3, 3]",end,"[0.525884107371112, 1.0]","[0.004381037968995732, 1.0]"
173745,"[1, 3, 5]",end,"[0.0, 0.0037279596977329976, 1.0]","[0.0, 0.0037422878527359157, 1.0]"
173748,"[1, 3, 3]",3,"[0.0, 0.01114864864864865, 0.01114864864864865]","[0.0, 0.011474269819193325, 0.0]"
173748,"[3, 3, 3]",5,"[0.012162162162162163, 0.015202702702702704, 0.024662162162162164]","[0.001043115438108484, 0.003129346314325452, 0.009735744089012517]"
173748,"[5, 5, 5]",5,"[0.02533783783783784, 0.026351351351351353, 0.02837837837837838]","[0.0006954102920723226, 0.001043115438108484, 0.002086230876216968]"
173748,[5],end,[1.0],[1.0]
173751,"[3, 3, 5]",6,"[0.0, 0.005387778250389905, 0.6001701403658017]","[0.0, 0.009058402860548272, 1.0]"
173751,[6],end,[1.0],[0.6721096543504171]
173754,"[3, 3, 3]",3,"[0.0, 0.0008045483801759279, 0.14551598369448615]","[0.0, 0.0017047391749062393, 0.30651210364814185]"
173754,"[3, 3, 3]",3,"[0.21154258742759063, 0.2241471787170135, 0.2388435957948938]","[0.1399022616206387, 0.026707580406864415, 0.03113990226162064]"
173754,"[3, 3, 3]",3,"[0.29006650933276124, 0.3029392834155761, 0.3182793391975971]","[0.1085350608023639, 0.02727582679849983, 0.03261734287987271]"
173754,"[3, 3, 3]",3,"[0.36762497318172066, 0.44271615533147396, 0.4729135378674104]","[0.10455733606091601, 0.1589953403795886, 0.0640981929764746]"
173754,"[3, 3, 3]",3,"[0.5260673675177001, 0.9980154473288994, 0.9980690838875778]","[0.11251278554381179, 1.0, 0.00011364927832708262]"
173754,"[3, 2, 2]",end,"[0.9998927268826432, 0.9998927268826432, 1.0]","[0.0038640754631208093, 0.0, 0.00022729855665416524]"
173760,"[3, 5, 5]",5,"[0.0, 0.5279961495267127, 0.7053853147227125]","[0.0, 1.0, 0.3359667780816368]"
173760,"[5, 6]",end,"[0.7540510187710573, 1.0]","[0.09217056619062089, 0.4659171477767649]"
173763,[1],end,[0],[0]
173766,"[3, 3, 3]",3,"[0.0, 0.00026860059092130003, 0.36287939833467636]","[0.0, 0.0007407407407407407, 1.0]"
173766,"[3, 3, 3]",3,"[0.5222938490464679, 0.5513027128659683, 0.5844748858447488]","[0.43925925925925924, 0.08, 0.09111111111111111]"
173766,"[3, 3, 3]",3,"[0.7138060703733549, 0.7248186946011281, 0.75208165457964]","[0.3566666666666667, 0.03037037037037037, 0.07518518518518519]"
173766,"[3, 3, 3]",end,"[0.7903572387859253, 0.9121676067687349, 1.0]","[0.10555555555555556, 0.3359259259259259, 0.24222222222222223]"
173775,"[3, 3]",end,"[0.0, 1.0]","[0.0, 1.0]"
173778,[1],end,[0],[0]
173781,[3],end,[0],[0]
173784,"[3, 3, 3]",3,"[0.0, 0.005097200559566497, 0.023829814603399207]","[0.0, 0.030878628482368983, 0.11348139489577246]"
173784,"[3, 3, 3]",3,"[0.027367303950732422, 0.030792236818832308, 0.03080831631586564]","[0.02142996298460939, 0.020748100526008183, 0.0]"
173784,"[3, 3, 5]",5,"[0.03087263430399897, 0.03116206525059896, 0.19621810229776013]","[0.0003896356906292616, 0.0017533606078316774, 1.0]"
173784,"[5, 5, 5]",6,"[0.21559389622292616, 0.24071007058899196, 0.32625299480632247]","[0.11737775180206507, 0.152250146113384, 0.5181180596142607]"
173784,"[6, 4, 4]",4,"[0.37441108842115417, 0.3756331301956875, 0.3804087408145873]","[0.29183713228131697, 0.007403078121955971, 0.02883304110656536]"
173784,"[4, 4, 4]",4,"[0.3937868823463202, 0.4260745123892525, 0.4874660320625171]","[0.08104422365088643, 0.19559711669588933, 0.37190726670563024]"
173784,"[4, 4, 6]",4,"[0.560370471611648, 0.5774308179640141, 0.5793442781109807]","[0.44165205532826807, 0.10335086693941165, 0.011591661796220534]"
173784,"[4, 4, 6]",6,"[0.5813542152401473, 0.5820134746185139, 0.6495956006496116]","[0.01207870640950711, 0.003993765828949932, 0.4094097019286967]"
173784,"[6, 4, 4]",4,"[0.6511874708559117, 0.6553520605875448, 0.660191989194578]","[0.009643483343074225, 0.02522891096824469, 0.029320085719851938]"
173784,"[4, 4, 4]",4,"[0.6772523355469441, 0.678120628386744, 0.7180781785145761]","[0.10344827586206896, 0.005260081823495032, 0.2420611728034288]"
173784,"[4, 4, 4]",4,"[0.7256355421202425, 0.7264073579778425, 0.7669598494959078]","[0.04578219364893824, 0.004578219364893824, 0.2457627118644068]"
173784,"[4, 4, 4]",4,"[0.7703204643758743, 0.8115804537634063, 0.8165168593526394]","[0.020261055912721607, 0.25004870446132865, 0.029807130333138514]"
173784,"[4, 4, 4]",4,"[0.8169992442636395, 0.8454277950185718, 0.8827643871299706]","[0.0030196766023767776, 0.17221897525813365, 0.2261835184102864]"
173784,"[4, 6, 6]",6,"[0.9041661976813365, 0.9050505700181698, 0.9996301715682333]","[0.1296512760568868, 0.005357490746152348, 0.5729592830703293]"
173784,[6],end,[1.0],[0.002142996298460939]
173787,"[3, 5, 5]",5,"[0.0, 0.00025422651582560063, 0.0003813397737384009]","[0.0, 0.0005467468562055768, 0.0002733734281027884]"
173787,"[5, 5, 5]",5,"[0.000974534977331469, 0.4414643447311555, 0.45375195966272613]","[0.0012757426644796792, 0.9473300528521961, 0.02633497357390195]"
173787,"[5, 5, 5]",end,"[0.45612474047709844, 0.921062666836151, 1.0]","[0.005102970657918717, 1.0, 0.16967377437579734]"
173790,"[3, 5, 5]",5,"[0.0, 0.0004818348270212971, 0.0005782017924255566]","[0.0, 0.0008410428931875525, 0.0001682085786375105]"
173790,"[5, 6, 6]",end,"[0.5734798111207479, 0.6018116989496001, 1.0]","[1.0, 0.04945332211942809, 0.6950378469301934]"
173793,"[3, 3, 5]",5,"[0.0, 0.014920561823624223, 0.015150817407322128]","[0.0, 0.031609756097560976, 0.0004878048780487805]"
173793,"[5, 5, 6]",4,"[0.4871287128712871, 0.7312456827078057, 0.9969145751784481]","[1.0, 0.5171707317073171, 0.5628292682926829]"
173793,"[4, 6, 6]",end,"[0.9986184664978126, 0.999677642182823, 1.0]","[0.0037073170731707315, 0.00224390243902439, 0.0006829268292682926]"
173796,"[3, 3, 5]",5,"[0.0, 0.009855951478392721, 0.9999052312357847]","[0.0, 0.009955011007944865, 1.0]"
173796,[5],end,[1.0],[0.0]
173799,"[3, 3, 3]",3,"[0.0, 0.9924050632911392, 0.9924050632911392]","[0.0, 1.0, 0.0005102040816326531]"
173799,[3],end,[1.0],[0.007653061224489796]
173802,[1],end,[0],[0]
173805,"[3, 3, 5]",5,"[0.0, 0.00035812610515477763, 0.0004924233945878192]","[0.0, 0.0014049877063575693, 0.0005268703898840885]"
173805,"[5, 5, 5]",5,"[0.0006491035655930345, 0.23455021599480716, 0.48944647133872016]","[0.0006146821215314366, 0.9176325957147875, 1.0]"
173805,"[5, 5, 5]",5,"[0.489558385746581, 0.5286612798531682, 0.7123352060344249]","[0.00043905865823674043, 0.1534070951879171, 0.7205830698981384]"
173805,"[5, 5, 5]",5,"[0.7179085435458961, 0.7179085435458961, 0.7806701434742709]","[0.021865121180189673, 0.0, 0.24622409553916402]"
173805,"[5, 5, 5]",end,"[0.9126396132238064, 0.9130201222105334, 1.0]","[0.5177379697927643, 0.0014927994380049174, 0.341324200913242]"
173811,"[1, 3, 3]",5,"[0.0, 0.0025947300138683847, 0.0035565695879747686]","[0.0, 0.005528284801982557, 0.00204927798694181]"
173811,"[5, 5, 5]",5,"[0.0036013063123518096, 0.23594148436451484, 0.23931910705498144]","[9.531525520659581e-05, 0.49506743554305865, 0.007196301768097984]"
173811,"[5, 5, 5]",5,"[0.29962421151523283, 0.33675569274817696, 0.3367780611103655]","[0.12848496401849116, 0.07911166182147453, 4.7657627603297905e-05]"
173811,"[5, 5, 5]",5,"[0.33758332214915227, 0.33782937413322595, 0.33791884758198004]","[0.0017156745937187247, 0.000524233903636277, 0.00019063051041319162]"
173811,"[5, 5, 5]",5,"[0.39451080391893706, 0.4655974589540554, 0.5176262694045543]","[0.12057379783634371, 0.15145594052328076, 0.11085164180527093]"
173811,"[5, 5, 5]",end,"[0.5298617635216749, 0.5306446561982732, 1.0]","[0.026068722299003956, 0.0016680169661154268, 1.0]"
173814,"[1, 3]",end,"[0.0, 1.0]","[0.0, 1.0]"
173817,"[3, 5, 5]",5,"[0.0, 8.708525646608029e-05, 0.00017417051293216058]","[0.0, 0.00016753224995811694, 0.00016753224995811694]"
173817,"[5, 6]",end,"[0.5199860663589654, 1.0]","[1.0, 0.9234377617691406]"
173823,"[3, 5, 5]",6,"[0.0, 0.00048682105848807286, 0.7179915154044092]","[0.0, 0.0006784260515603799, 1.0]"
173823,"[6, 6]",end,"[0.8972112107935183, 1.0]","[0.2497577049815856, 0.14324481488660593]"
173826,"[1, 1, 1]",3,"[0.0, 0.022950819672131147, 0.03278688524590164]","[0.0, 0.02766798418972332, 0.011857707509881422]"
173826,"[3, 3, 3]",3,"[0.03934426229508197, 0.8655737704918033, 0.9049180327868852]","[0.007905138339920948, 1.0, 0.04743083003952569]"
173826,[3],end,[1.0],[0.11067193675889328]
173829,"[1, 1, 3]",end,"[0.0, 0.75, 1.0]","[0.0, 1.0, 0.3333333333333333]"
173835,"[3, 3, 3]",5,"[0.0, 0.0005948023426061494, 0.001784407027818448]","[0.0, 0.0011669658886894075, 0.002244165170556553]"
173835,"[5, 5, 5]",5,"[0.0018301610541727673, 0.0026537335285505125, 0.4796852122986823]","[8.976660682226212e-05, 0.0017055655296229803, 0.9359066427289049]"
173835,"[5, 5, 5]",end,"[0.989385065885798, 0.9983528550512445, 1.0]","[1.0, 0.017594254937163375, 0.0031418312387791743]"
173841,"[3, 3, 3]",end,"[0.0, 0.9353083434099153, 1.0]","[0.0, 1.0, 0.06851971557853911]"
173844,"[3, 3, 3]",5,"[0.0, 0.015585295612400475, 0.01600880908012875]","[0.0, 0.01858961406344716, 0.00040412204485754696]"
173844,"[5, 6]",end,"[0.8543960697950195, 1.0]","[1.0, 0.17367144877753082]"
173847,"[3, 5, 6]",end,"[0.0, 0.7922247882986913, 1.0]","[0.0, 1.0, 0.2622680011660674]"
173856,"[1, 1]",end,"[0.0, 1.0]","[0.0, 1.0]"
173859,"[1, 3, 5]",5,"[0.0, 0.0178792201616738, 0.01806942463147884]","[0.0, 0.01820823244552058, 0.0001937046004842615]"
173859,[5],end,[1.0],[1.0]
173862,[1],end,[0],[0]
173868,"[3, 3, 5]",5,"[0.0, 0.00012124886329190665, 0.31679296756592906]","[0.0, 0.00035609365263064184, 0.9299385738449212]"
173868,"[5, 5, 5]",6,"[0.6572900879054259, 0.7138526826311004, 0.7400424371021521]","[1.0, 0.16611768895219442, 0.0770052523813763]"
173868,[6],end,[1.0],[0.7634647912400961]
173871,"[3, 3, 3]",3,"[0.0, 0.0159322248213947, 0.018145033824366188]","[0.0, 0.026529108327192335, 0.0036845983787767134]"
173871,"[3, 3, 3]",5,"[0.018271480053107417, 0.12581399759752165, 0.12594044382626288]","[0.00021054847878724077, 0.17907148120854827, 0.00021054847878724077]"
173871,"[5, 5, 5]",6,"[0.12594044382626288, 0.1260668900550041, 0.7266232534614655]","[0.0, 0.00010527423939362039, 1.0]"
173871,"[6, 6]",end,"[0.9994309919706644, 1.0]","[0.45425834298347195, 0.0010527423939362037]"
173880,"[1, 3, 3]",5,"[0.0, 0.004378963717157772, 0.005802666206480004]","[0.0, 0.01729131175468484, 0.005621805792163544]"
173880,"[5, 5, 5]",5,"[0.005824237456318219, 0.22882781828379137, 0.228892532033306]","[8.517887563884156e-05, 0.8804940374787052, 0.0002555366269165247]"
173880,"[5, 5, 5]",6,"[0.25732343932007423, 0.5105699124207257, 0.6548384313387118]","[0.11226575809199318, 1.0, 0.5695911413969336]"
173880,"[6, 6, 4]",4,"[0.7798006816514949, 0.7801889641485827, 0.7847189266146081]","[0.49352640545144805, 0.0015332197614991482, 0.01788756388415673]"
173880,"[4, 4, 4]",4,"[0.7855386341084603, 0.7856680616074896, 0.7899391690754562]","[0.003151618398637138, 0.0005110732538330494, 0.01686541737649063]"
173880,"[4, 4, 6]",end,"[0.9634367315242245, 0.9981880150135899, 1.0]","[0.6850936967632028, 0.13722316865417378, 0.007155025553662692]"
173889,[1],end,[0],[0]
173898,"[1, 3, 3]",3,"[0.0, 0.01737220447284345, 0.028554313099041533]","[0.0, 0.025608320251177395, 0.016385400313971742]"
173898,"[3, 5, 5]",5,"[0.028953674121405752, 0.7073349307774228, 0.8896432374866879]","[0.0005886970172684458, 1.0, 0.26874018838304553]"
173898,[5],end,[1.0],[0.16267660910518053]
173901,[1],end,[0],[0]
173904,[1],end,[0],[0]
173913,"[3, 5, 5]",5,"[0.0, 0.000677863975295624, 0.3277095729456956]","[0.0, 0.001521041068108839, 0.7338178130809532]"
173913,"[5, 6, 6]",end,"[0.7733674775928298, 0.999472772463659, 1.0]","[1.0, 0.5075207030589826, 0.0011830319418624302]"
173916,"[2, 2, 2]",end,"[0.0, 0.05263157894736842, 1.0]","[0.0, 0.05555555555555555, 1.0]"
173919,"[1, 3, 3]",3,"[0.0, 0.11166875784190715, 0.24968632371392724]","[0.0, 0.1545138888888889, 0.1909722222222222]"
173919,"[3, 3, 3]",end,"[0.2547051442910916, 0.27728983688833125, 1.0]","[0.006944444444444444, 0.03125, 1.0]"
173925,"[1, 3, 3]",end,"[0.0, 0.9885714285714285, 1.0]","[0.0, 1.0, 0.011560693641618497]"
173928,"[3, 3, 3]",5,"[0.0, 0.0003533224493774215, 0.0036550598211457395]","[0.0, 0.0022764738205510635, 0.021273255357563386]"
173928,"[5, 5, 5]",5,"[0.003667243353882892, 0.0036916104193571967, 0.12864592217159287]","[7.84990972603815e-05, 0.000156998194520763, 0.8050867415024727]"
173928,"[5, 5, 5]",5,"[0.1620897195350764, 0.31729574307366165, 0.3230707375910719]","[0.21548002197974722, 1.0, 0.03713007300416045]"
173928,"[5, 5, 6]",4,"[0.372621165233071, 0.4034455030580667, 0.49404225249153244]","[0.31933432765523195, 0.1986027160687652, 0.5837192872281969]"
173928,"[4, 4, 4]",4,"[0.49694193328297476, 0.5101366992373109, 0.5140354297131996]","[0.0186827851479708, 0.08501452233299317, 0.02511971112332208]"
173928,"[4, 4, 4]",4,"[0.515741124296401, 0.5433855600769999, 0.6136723604376325]","[0.010989873616453412, 0.17811445168380563, 0.45278279299788055]"
173928,"[4, 6, 4]",4,"[0.6499792879943468, 0.6512098248007993, 0.6519773873632398]","[0.23392730983593688, 0.007928408823298531, 0.005023942224664416]"
173928,"[4, 4, 4]",4,"[0.6519773873632398, 0.6555593459879626, 0.6681693023709154]","[0.0, 0.02300023549729178, 0.08124656566449485]"
173928,"[4, 4, 4]",4,"[0.6749798971709837, 0.7025512317551598, 0.7939399108165404]","[0.04388099536855326, 0.17764345710024335, 0.5888217285501217]"
173928,"[4, 4, 4]",4,"[0.8070372085089793, 0.8115572991544628, 0.8121055581276347]","[0.08438652955491012, 0.02912316508360154, 0.003532459376717168]"
173928,"[4, 4, 4]",4,"[0.8152976437047686, 0.8254465264748166, 0.82787104948951]","[0.020488264384959574, 0.06546824711515818, 0.015542821257555538]"
173928,"[4, 4, 4]",4,"[0.8597188040644265, 0.8600721265138039, 0.867906138063793]","[0.20519664023863726, 0.0022764738205510635, 0.05047491953842531]"
173928,"[4, 4, 4]",4,"[0.8786641974706986, 0.8811252710836034, 0.9132654304442116]","[0.06931470288091687, 0.015856817646597063, 0.2071591176701468]"
173928,"[4, 4, 4]",4,"[0.933356075927776, 0.9479519481468847, 0.9511196666585443]","[0.12936651228510873, 0.09412041761519742, 0.02033126619043881]"
173928,"[4, 4, 6]",end,"[0.9834425790102098, 0.9869148858402983, 1.0]","[0.20825810503179212, 0.022372242719208728, 0.08430803045764974]"
173934,[1],end,[0],[0]
173937,"[3, 3, 3]",3,"[0.0, 0.011023111481635867, 0.0361030058820805]","[0.0, 0.01803166906583832, 0.040987953632850974]"
173937,"[3, 3, 3]",3,"[0.03825668102450095, 0.043467185401324625, 0.06560603955351767]","[0.003522994166224714, 0.008523372982801727, 0.03621486476248201]"
173937,"[3, 3, 3]",3,"[0.07114075309156594, 0.07774072530220925, 0.11421425593997499]","[0.009053716190620502, 0.010834154102583529, 0.05966361087961209]"
173937,"[3, 3, 3]",3,"[0.13172155064610255, 0.14496781066184986, 0.16807929229771665]","[0.028676414879915145, 0.021630426547465716, 0.03780589438593833]"
173937,"[3, 3]",end,"[0.7793988235839007, 1.0]","[1.0, 0.36086067126297444]"
173940,"[3, 3, 3]",5,"[0.0, 0.029733859671463136, 0.030943588437539794]","[0.0, 0.047765163137976886, 0.002045617265009717]"
173940,"[5, 6, 4]",4,"[0.6535082134216224, 0.8311473322297211, 0.8322297211256845]","[1.0, 0.2853636084688555, 0.001841055538508745]"
173940,"[4, 4, 4]",6,"[0.8354132178785177, 0.9111804405959506, 0.9277982936457405]","[0.005011762299273806, 0.12181650813132863, 0.026593024445126318]"
173940,"[6, 4, 4]",4,"[0.9300267413727238, 0.9307907805934038, 0.9309817903985738]","[0.003579830213767004, 0.00122737035900583, 0.0003068425897514575]"
173940,"[4, 6]",end,"[0.9487457022793837, 1.0]","[0.028536360846885548, 0.08223381405339061]"
173943,"[1, 3, 3]",3,"[0.0, 0.0029535487335541036, 0.004072317193233688]","[0.0, 0.012167020001843488, 0.0046087196976679875]"
173943,"[3, 3, 3]",3,"[0.008994898415823861, 0.008994898415823861, 0.014208359437930727]","[0.020186192275785785, 0.0, 0.021476633791132824]"
173943,"[3, 3, 5]",5,"[0.014275485545511502, 0.014387362391479459, 0.23977445627852859]","[0.000368697575813439, 0.000368697575813439, 0.9284726702921928]"
173943,"[5, 5, 5]",5,"[0.2410946030609505, 0.4838226080730332, 0.5234270115456905]","[0.005438289243248226, 1.0, 0.16314867729744678]"
173943,"[5, 5, 5]",5,"[0.529647364181509, 0.5934171663832454, 0.6847086726930994]","[0.02562448151903401, 0.2626970227670753, 0.37597935293575446]"
173943,"[5, 5]",end,"[0.9167188758614517, 1.0]","[0.9557562909023873, 0.343073094294405]"
173946,"[3, 5, 5]",5,"[0.0, 2.2420519259226043e-05, 0.23478767768261513]","[0.0, 3.0307622367025306e-05, 0.317351113805122]"
173946,"[5, 5]",end,"[0.2602573875610959, 1.0]","[0.034429459008940747, 1.0]"
173949,"[1, 3, 3]",3,"[0.0, 0.004054851076378649, 0.03814017497296766]","[0.0, 0.009099933818663137, 0.07643944407677035]"
173949,"[3, 5, 5]",5,"[0.03990956453356925, 0.08235033913299912, 0.29615157770569156]","[0.003970880211780278, 0.09530112508272667, 0.4798146922567836]"
173949,"[5, 5, 5]",5,"[0.29720829647105085, 0.7427995674825518, 0.7429224417575936]","[0.002371497904257666, 1.0, 0.0002757555702625193]"
173949,"[5, 5, 5]",5,"[0.742947016612602, 0.7916789540941709, 0.7928585471345719]","[5.515111405250386e-05, 0.10936465916611515, 0.0026472534745201853]"
173949,"[5, 6]",end,"[0.8515678757495331, 1.0]","[0.13175601147143173, 0.33311272887712334]"
173955,"[3, 3, 3]",5,"[0.0, 0.005898702528188759, 0.016348873056523164]","[0.0, 0.045857709001698437, 0.08114738629930175]"
173955,"[5, 5, 5]",6,"[0.14497942736463934, 0.1566433226930126, 0.24427425325581678]","[1.0, 0.09067748631817324, 0.681260615210417]"
173955,"[6, 6, 4]",4,"[0.2777123714968868, 0.282154604265029, 0.28255513344904176]","[0.2600490658614833, 0.034440460464238536, 0.0031137950556708815]"
